# data file for b-pn2.mod (set SS = {18,20,22,24,26,28,30,32})

param:      q,       Qm     :=
 31    1.972538327884441e+000    2.164903149719264e+000    3.008924532182630e+000
 32    1.792238616520902e+000    2.010023057151735e+000    2.756873252643322e+000
 33    1.635047655042573e+000    1.874027958870912e+000    2.533664136448973e+000
 34    1.488570555527931e+000    1.750422897890284e+000    2.329720436189586e+000
 35    1.359489672907092e+000    1.641124409179788e+000    2.147443103265732e+000
 36    1.238022412867391e+000    1.541160149659770e+000    1.979415553431005e+000
 37    1.129764143861686e+000    1.452329543409273e+000    1.827921091852582e+000
 38    1.026983735724782e+000    1.370639851485229e+000    1.687113909163018e+000
 39    9.341620598547888e-001    1.297778952909667e+000    1.558964859658383e+000
 40    8.452663197045063e-001    1.230493175676059e+000    1.438963494472394e+000
 41    7.638896088611524e-001    1.170352792605813e+000    1.328616548169666e+000
 42    6.851344631096604e-001    1.114760668120043e+000    1.224483346485796e+000
 43    6.119783180047840e-001    1.064944430493399e+000    1.127714790146186e+000
 44    5.403552883766463e-001    1.019119282575744e+000    1.035547261800926e+000
 45    4.725822939058879e-001    9.780577606751350e-001    9.489070879360876e-001
 46    4.054591450935887e-001    9.406302785706286e-001    8.655174927247278e-001
 47    3.403953868795515e-001    9.073297621724224e-001    7.859231766676698e-001
 48    2.750206352758213e-001    8.776213146002315e-001    7.084648119082919e-001
 49    2.096807939494547e-001    8.516083029926640e-001    6.329233258427811e-001
 50    1.426374001364867e-001    8.295749044611969e-001    5.582835102311141e-001
 51    7.275659914089250e-002    8.109223422228704e-001    4.832023669792966e-001
 52   -1.368305665655711e-003    7.971986553299582e-001    4.070694540003474e-001
 53   -8.355695509502858e-002    7.864618747901519e-001    3.265508146237126e-001
 54   -1.763070603988312e-001    7.817420662677130e-001    2.405268922919719e-001
 55   -2.889928093268894e-001    7.782741897066763e-001    1.411987359272047e-001
 56   -4.319858013263698e-001    7.782493231425449e-001    2.207113338645872e-002
 57   -6.284879110994179e-001    7.723473521834343e-001   -1.357092851322132e-001
 58   -9.236015179783798e-001    7.325710081678904e-001   -3.670583326551462e-001
 59   -1.382979683579522e+000    6.902407214391300e-001   -7.202496027845626e-001
 60   -2.063621056408054e+000    3.863080820926319e-001   -1.264135122751172e+000
 61   -3.288663020199586e+000    8.047436680591282e-001   -2.152005339028104e+000

 :               7                        8                        9  := 
 1     1.044375817487988e+001   -2.398232217690191e+001    1.280718990287014e+001
 2     5.480155102283344e+001    4.221141913296510e+001    2.435864054220448e+001
 3     4.610245278715118e+000    8.977423198275234e+001    3.254852861263200e+001
 4     1.863342782045939e+002    9.349451719636666e+001    5.343628297398998e+001
 5    -8.065981680565528e+002    4.505252908996262e+002   -2.043274364390100e+000
 6     2.229712740568366e+003    1.412722768404104e+002    1.779661843753033e+002
 7    -8.547130118586654e+003    4.420397039855433e+003   -8.142397306304219e+002
 8     2.225767709694654e+003   -5.657278971334367e+003    2.223111228083881e+003
 9    -8.141217442697375e+002    4.416564847101124e+003   -8.552494446603816e+003
 10    1.758772874974959e+002    1.337444686903970e+002    2.221407796095686e+003
 11   -5.873474033689793e+000    4.402390132060807e+002   -8.175802923470276e+002
 12    4.882954654926857e+001    8.164631741258691e+001    1.731009837488109e+002
 13    2.848915686118790e+001    8.249278999276656e+001   -8.070775860567329e+000
 14    2.543482527193082e+001    4.357394630748944e+001    4.706914213387081e+001
 15    1.971401028307163e+001    3.516375060540487e+001    2.709253458475848e+001
 16    1.619931054744750e+001    2.628953631041338e+001    2.431637661828613e+001
 17    1.342823540055610e+001    2.153486733082680e+001    1.882550175905338e+001
 18    1.131362401699994e+001    1.767554014536150e+001    1.548954076743566e+001
 19    9.685668163176858e+000    1.496037058136236e+001    1.286574802517076e+001
 20    8.370468520704261e+000    1.276174801725948e+001    1.086748704455874e+001
 21    7.322800062680235e+000    1.106995798720731e+001    9.335178012377776e+000
 22    6.451002171537757e+000    9.664542876886928e+000    8.096681906816292e+000
 23    5.735409707529297e+000    8.532875609010542e+000    7.111966440564437e+000
 24    5.127167171178370e+000    7.571099265847665e+000    6.291241260708037e+000
 25    4.616518313790319e+000    6.773067857863909e+000    5.617424426607774e+000
 26    4.175155524787371e+000    6.082616482270025e+000    5.043584757790781e+000
 27    3.798160896737131e+000    5.496918765037781e+000    4.560885418140453e+000
 28    3.467929036677872e+000    4.982789795946059e+000    4.142854198063552e+000
 29    3.181958139023798e+000    4.539217239825534e+000    3.784671712480298e+000
 30    2.928632336844675e+000    4.145106776010302e+000    3.470354706432089e+000
 31    2.706901709512844e+000    3.800389854375114e+000    3.197103738415396e+000
 32    2.508633919253620e+000    3.490965702941078e+000    2.954700118454007e+000
 33    2.333522982566336e+000    3.217207050926193e+000    2.741613627174804e+000
 34    2.175691038227314e+000    2.969251668279630e+000    2.550908283771418e+000
 35    2.035272706546251e+000    2.747710498483308e+000    2.381727124771899e+000
 36    1.907937597487036e+000    2.545400980815555e+000    2.229210290801444e+000
 37    1.793924179055425e+000    2.363081985850642e+000    2.092955215485277e+000
 38    1.690012265751623e+000    2.195321335096860e+000    1.969503343509017e+000
 39    1.596556159367792e+000    2.042895629833636e+000    1.858546250102451e+000
 40    1.511041513354842e+000    1.901677584305833e+000    1.757653750270559e+000
 41    1.433934328595450e+000    1.772320308763177e+000    1.666678150465819e+000
 42    1.363207589560714e+000    1.651746668295014e+000    1.583790774578515e+000
 43    1.299403261089787e+000    1.540325410895846e+000    1.509008654980223e+000
 44    1.240982666151210e+000    1.435854730156981e+000    1.440939318133321e+000
 45    1.188292056889711e+000    1.338479973459547e+000    1.379716348022580e+000
 46    1.140508233020986e+000    1.246549239533110e+000    1.324432329282608e+000
 47    1.097625035592462e+000    1.160069910153641e+000    1.275051288983624e+000
 48    1.059467165992896e+000    1.077822550952591e+000    1.231457387450223e+000
 49    1.025796501375536e+000    9.994515444426264e-001    1.193258419502872e+000
 50    9.971549419860584e-001    9.243829310255288e-001    1.161200730088583e+000
 51    9.728579053097348e-001    8.513753602244956e-001    1.134582782229965e+000
 52    9.546012236526778e-001    7.806050105095967e-001    1.115340143360688e+000
 53    9.406871670698620e-001    7.092304005975678e-001    1.102046073333202e+000
 54    9.345502991286962e-001    6.377074936729583e-001    1.098571631653987e+000
 55    9.322156040527422e-001    5.596648292279065e-001    1.101705238575965e+000
 56    9.371128861971570e-001    4.724741717717285e-001    1.116375403287192e+000
 57    9.424313572630960e-001    3.611543654600844e-001    1.137866609150600e+000
 58    9.250844294357794e-001    1.985135579656809e-001    1.146772238789660e+000
 59    9.243328114319124e-001   -4.346277405363352e-002    1.192332777759595e+000
 60    6.843820039586177e-001   -4.661641279851043e-001    1.008509714931293e+000
 61    1.238108691054338e+000   -9.732059051402296e-001    1.730589164322598e+000

 :               10                        11                        12  := 
 1    -1.703168412661716e+001    9.281999750296152e+000   -1.262668265246441e+001
 2     1.912182965945030e+001    1.333508990140627e+001    9.516454567601740e+000
 3     3.567162046422329e+001    2.088355123718533e+001    1.931970157878538e+001
 4     4.816663538909172e+001    2.734436390502136e+001    2.748018208336724e+001
 5     8.745522686888150e+001    3.040518279639301e+001    3.732471623751736e+001
 6     8.561371476551369e+001    4.992641241292883e+001    4.555256901050299e+001
 7     4.423276693608194e+002   -6.001844005828678e+000    8.355921306667574e+001
 8     1.335215430241007e+002    1.741799884683270e+002    8.134414847913965e+001
 9     4.413755079979006e+003   -8.176182443766796e+002    4.382594260425342e+002
 10   -5.662922738610855e+003    2.220161927988070e+003    1.297968438107806e+002
 11    4.411926551342026e+003   -8.554998083827726e+003    4.410479267261019e+003
 12    1.299000996034541e+002    2.219277614032426e+003   -5.665793480051901e+003
 13    4.371071281116405e+002   -8.193664876022300e+002    4.409458590769256e+003
 14    7.906708231546327e+001    1.715916946128470e+002    1.277676724906906e+002
 15    8.039243283988205e+001   -9.334428870590562e+000    4.352856719277914e+002
 16    4.184720445648991e+001    4.600262753517131e+001    7.750086180824340e+001
 17    3.375648858527742e+001    2.619826903497691e+001    7.905641311723605e+001
 18    2.513458506120238e+001    2.356135769711516e+001    4.070035296678973e+001
 19    2.059454653842388e+001    1.819143405022949e+001    3.277832555839875e+001
 20    1.690700422490059e+001    1.495423355094365e+001    2.429592066241252e+001
 21    1.433757735397153e+001    1.241599212903425e+001    1.987955084771203e+001
 22    1.225713276853986e+001    1.048832780320190e+001    1.629510505269946e+001
 23    1.066562863650950e+001    9.017239162608316e+000    1.381706371790536e+001
 24    9.342282507927714e+000    7.829620651455263e+000    1.181315400916203e+001
 25    8.280098153229851e+000    6.888935284762712e+000    1.028920834974043e+001
 26    7.376142928480140e+000    6.105418416424948e+000    9.023438736890934e+000
 27    6.626911858913010e+000    5.463760164860008e+000    8.011988899392152e+000
 28    5.977483792873755e+000    4.917301816763647e+000    7.151469884896998e+000
 29    5.426370614222000e+000    4.458311944293615e+000    6.440605551505655e+000
 30    4.941652520023570e+000    4.060676426534364e+000    5.824313120828518e+000
 31    4.522838156163600e+000    3.720184460970551e+000    5.302517990732323e+000
 32    4.150045419326266e+000    3.421257895327672e+000    4.843363715587255e+000
 33    3.823256484786601e+000    3.161395192098128e+000    4.447226858905708e+000
 34    3.529490012806282e+000    2.930792676279060e+000    4.094420721024689e+000
 35    3.268908710553572e+000    2.728024387599444e+000    3.785435971923005e+000
 36    3.032649406198012e+000    2.546554649549761e+000    3.507549224066260e+000
 37    2.821006689597158e+000    2.385531911989579e+000    3.261218691357914e+000
 38    2.627696589393252e+000    2.240479666859487e+000    3.037884145529174e+000
 39    2.453039408591931e+000    2.110900782088694e+000    2.837930373772419e+000
 40    2.292458662488528e+000    1.993730758416398e+000    2.655436925098570e+000
 41    2.146282892416225e+000    1.888537734399722e+000    2.490727433019736e+000
 42    2.011135321392871e+000    1.793260203293113e+000    2.339580187103144e+000
 43    1.887238384675320e+000    1.707616856255762e+000    2.202274454282967e+000
 44    1.772214588769722e+000    1.630160265413026e+000    2.075816458589307e+000
 45    1.666010437866597e+000    1.560765532674404e+000    1.960333231021860e+000
 46    1.567115914703676e+000    1.498472273703044e+000    1.853892534624796e+000
 47    1.475248278783863e+000    1.443262008619684e+000    1.756298700413499e+000
 48    1.389504856222792e+000    1.394787332751705e+000    1.666617695603848e+000
 49    1.309422058903051e+000    1.352833906842957e+000    1.584356378794718e+000
 50    1.234690531932153e+000    1.318122781447994e+000    1.509448165961596e+000
 51    1.164337764039817e+000    1.290002692412335e+000    1.441070619537912e+000
 52    1.099026479027064e+000    1.270634536800434e+000    1.380259161386608e+000
 53    1.036461718496966e+000    1.258812009615472e+000    1.325285664218397e+000
 54    9.784339701235524e-001    1.258912965188698e+000    1.278959830427592e+000
 55    9.197123549463094e-001    1.268372963363308e+000    1.237063909346474e+000
 56    8.609548780756535e-001    1.293427152629838e+000    1.203050545618924e+000
 57    7.903995540030184e-001    1.331203967184642e+000    1.167692774734051e+000
 58    6.866685029267314e-001    1.365126000576878e+000    1.114084437420796e+000
 59    5.396910671858528e-001    1.454348000299006e+000    1.047759055080713e+000
 60    2.149782607024928e-001    1.316971773927106e+000    8.016216493889239e-001
 61    4.070405926221454e-002    2.207197464013282e+000    9.154206273848402e-001

 :               13                        14                        15  := 
 1     6.737334039557793e+000   -1.000603793926526e+001    5.085683872278452e+000
 2     8.130595376845145e+000    4.973563844605737e+000    5.337917907388358e+000
 3     1.331310422282376e+001    1.172350910076377e+001    9.013767243720168e+000
 4     1.681514815518462e+001    1.724703175347508e+001    1.129711064267419e+001
 5     2.062725686086290e+001    2.221193471823596e+001    1.380419408659012e+001
 6     2.599897822275121e+001    2.715940399567576e+001    1.646973383834407e+001
 7     2.837997891856389e+001    3.564322295293052e+001    1.962616958619826e+001
 8     4.775637497406532e+001    4.325749348667098e+001    2.475487901633027e+001
 9    -8.115305034692280e+000    8.110103742622604e+001    2.705031534804070e+001
 10    1.722168618086723e+002    7.892039339311955e+001    4.644469221404347e+001
 11   -8.193803868632430e+002    4.359939329466008e+002   -9.353415956933560e+000
 12    2.218592263055028e+003    1.277149681811938e+002    1.710695634648838e+002
 13   -8.556373038432161e+003    4.408609576593665e+003   -8.204222768296488e+002
 14    2.218070788153328e+003   -5.667469771821547e+003    2.217649309584604e+003
 15   -8.204152482804899e+002    4.407975083314622e+003   -8.557216584877660e+003
 16    1.706760017484522e+002    1.264511318946013e+002    2.217315106479760e+003
 17   -1.012848218695322e+001    4.341273211796584e+002   -8.210870422050589e+002
 18    4.531056221627826e+001    7.647761880340556e+001    1.700770824253267e+002
 19    2.559829563423950e+001    7.815842882611101e+001   -1.065936574154133e+001
 20    2.303882899670886e+001    3.990910118120334e+001    4.483846753231752e+001
 21    1.773837824588094e+001    3.208486519979144e+001    2.518043516939966e+001
 22    1.455993492465094e+001    2.368600281348828e+001    2.266786082164830e+001
 23    1.207438459122315e+001    1.934594874732061e+001    1.741053504818760e+001
 24    1.019141226677224e+001    1.582670968343121e+001    1.426933990998503e+001
 25    8.760211591544621e+000    1.340777222543936e+001    1.181777360409945e+001
 26    7.607001259489256e+000    1.145523481040418e+001    9.964636091571750e+000
 27    6.696985457686885e+000    9.977725867206406e+000    8.560592791667215e+000
 28    5.940003419534246e+000    8.752330292280613e+000    7.431213367091136e+000
 29    5.322073651064239e+000    7.777471909193654e+000    6.542958848427390e+000
 30    4.796312329939072e+000    6.948980986055557e+000    5.805198264356301e+000
 31    4.355879314920247e+000    6.267190530603631e+000    5.204862315651869e+000
 32    3.974581921550254e+000    5.676546718640896e+000    4.694768253711930e+000
 33    3.648796989975470e+000    5.178097011639109e+000    4.268731790052379e+000
 34    3.362962548910639e+000    4.739725895293099e+000    3.900382816648435e+000
 35    3.114954578115256e+000    4.362585949396268e+000    3.586565024104542e+000
 36    2.895044009922594e+000    4.026870582885134e+000    3.311626946178176e+000
 37    2.702053009419166e+000    3.733616839768056e+000    3.073784030840150e+000
 38    2.529562834449580e+000    3.470087932122013e+000    2.863283523302325e+000
 39    2.376848320879032e+000    3.237078391333350e+000    2.679173797773678e+000
 40    2.239601661695760e+000    3.026116569291934e+000    2.515078923023984e+000
 41    2.117396928439042e+000    2.837813820473639e+000    2.370439398388742e+000
 42    2.007355811023151e+000    2.666381924555234e+000    2.241031551429170e+000
 43    1.909081801019959e+000    2.512293124585513e+000    2.126551553993094e+000
 44    1.820747402631955e+000    2.371530018440051e+000    2.024272915299894e+000
 45    1.742078448287810e+000    2.244454796638692e+000    1.933887489021619e+000
 46    1.671944839473369e+000    2.128383363091475e+000    1.853823590396900e+000
 47    1.610204123931258e+000    2.023464512241892e+000    1.783867135862541e+000
 48    1.556376546268509e+000    1.928258827695309e+000    1.723333756776334e+000
 49    1.510392609708210e+000    1.842517486128096e+000    1.672107926829884e+000
 50    1.472712130549463e+000    1.766141306644628e+000    1.630525621070250e+000
 51    1.442994111423606e+000    1.698442527451963e+000    1.598476639759706e+000
 52    1.423438189329566e+000    1.640861165314658e+000    1.577996292908388e+000
 53    1.413051250275035e+000    1.592017717055618e+000    1.568512986112953e+000
 54    1.416721530106408e+000    1.555637088496907e+000    1.575257264210902e+000
 55    1.432385312692635e+000    1.528398966378389e+000    1.596585198959882e+000
 56    1.467559840943007e+000    1.516091532800388e+000    1.641239055466428e+000
 57    1.520929638974969e+000    1.511567713070968e+000    1.709170109048699e+000
 58    1.577881881194431e+000    1.501335437881827e+000    1.787186957699942e+000
 59    1.707391867747242e+000    1.504524143176574e+000    1.953897580358999e+000
 60    1.607984843360202e+000    1.321465555426756e+000    1.885083337527772e+000
 61    2.662198093439689e+000    1.688774250679186e+000    3.099058632659885e+000

 :               16                        17                        18  := 
 1    -8.241819553875779e+000    4.008789431383061e+000   -6.926723001623281e+000
 2     2.624121453197960e+000    3.717321286186561e+000    1.343028492307557e+000
 3     7.565787468363588e+000    6.438329367917676e+000    5.103000210714846e+000
 4     1.157919490832888e+001    8.049874009391342e+000    8.165589430439569e+000
 5     1.485033654533774e+001    9.770178888295658e+000    1.055204216552892e+001
 6     1.792378835158127e+001    1.141844238305496e+001    1.266388858983166e+001
 7     2.167773908006349e+001    1.335724513936698e+001    1.491242617945376e+001
 8     2.598580604384070e+001    1.576674782777532e+001    1.739592013859543e+001
 9     3.417597254937866e+001    1.878692225073563e+001    2.082600983325590e+001
 10    4.168629990950010e+001    2.387321796038196e+001    2.497469991472742e+001
 11    7.954144613402163e+001    2.617708300437884e+001    3.310539774560151e+001
 12    7.742241626531856e+001    4.560577181005285e+001    4.061164435644693e+001
 13    4.345960854030413e+002   -1.013979048539170e+001    7.850195362912702e+001
 14    1.264217154424493e+002    1.703390381345090e+002    7.643294112166258e+001
 15    4.407431538962654e+003   -8.210919020180373e+002    4.336713004557243e+002
 16   -5.668542453332320e+003    2.217036855759869e+003    1.255617153116140e+002
 17    4.407008896813288e+003   -8.557772510446670e+003    4.406640488781900e+003
 18    1.255787380103655e+002    2.216810966910194e+003   -5.669269076501125e+003
 19    4.333454346226058e+002   -8.215418445561560e+002    4.406346041428534e+003
 20    7.577504813956079e+001    1.696661729192259e+002    1.249738862376408e+002
 21    7.753067243665139e+001   -1.102879406159441e+001    4.327966753840810e+002
 22    3.934671769630580e+001    4.450565863802133e+001    7.527641700665093e+001
 23    3.158368610777415e+001    2.488202657871003e+001    7.708001438075260e+001
 24    2.323808034794926e+001    2.239966897075589e+001    3.893853410374244e+001
 25    1.894730873197327e+001    1.717041742618941e+001    3.121553526326790e+001
 26    1.547165132467698e+001    1.405426044424482e+001    2.290589920552186e+001
 27    1.309286637524070e+001    1.162587026695437e+001    1.864880823683680e+001
 28    1.117572897521479e+001    9.793339374407514e+000    1.520323978832318e+001
 29    9.730902175447776e+000    8.408421166220476e+000    1.285266241423832e+001
 30    8.534468790042233e+000    7.296137761323494e+000    1.096082139906733e+001
 31    7.586374589613474e+000    6.423779866504710e+000    9.539713276087376e+000
 32    6.781760636795807e+000    5.700333572949118e+000    8.364675025682521e+000
 33    6.122086232886809e+000    5.113356459151659e+000    7.436679288699929e+000
 34    5.551334681236805e+000    4.615404937711856e+000    6.650333788174996e+000
 35    5.071383049587100e+000    4.200764075020241e+000    6.007883609248416e+000
 36    4.649818138119612e+000    3.842899548527554e+000    5.452946400291170e+000
 37    4.288409722526706e+000    3.539010626223636e+000    4.988000115227723e+000
 38    3.967179036904975e+000    3.273352830512634e+000    4.580389578830586e+000
 39    3.687598606105522e+000    3.044404543418228e+000    4.232343681269318e+000
 40    3.436871710699374e+000    2.842388252198748e+000    3.923749439516268e+000
 41    3.216118935686348e+000    2.666557987322856e+000    3.656438199317868e+000
 42    3.016881576494418e+000    2.510568142843445e+000    3.417568885255893e+000
 43    2.840014586073708e+000    2.374021868721403e+000    3.208543094783246e+000
 44    2.679839594790135e+000    2.252805151108356e+000    3.020969462034138e+000
 45    2.537004061651778e+000    2.146744327944273e+000    2.855920379474172e+000
 46    2.407734220443942e+000    2.053340961075279e+000    2.707939304564900e+000
 47    2.292504748398500e+000    1.972390371689820e+000    2.577832379509859e+000
 48    2.189099434369486e+000    1.902761036054387e+000    2.462307317284218e+000
 49    2.097706334021896e+000    1.844312578354513e+000    2.361928741540878e+000
 50    2.017768690700934e+000    1.797211487759982e+000    2.275445192665152e+000
 51    1.948944505184040e+000    1.761356187617761e+000    2.203009225889534e+000
 52    1.892841545253412e+000    1.738779867616736e+000    2.146000609388943e+000
 53    1.848340545947788e+000    1.729214844212156e+000    2.103714963260512e+000
 54    1.820122592120345e+000    1.738047180791876e+000    2.081562513848571e+000
 55    1.805433547252758e+000    1.764200240828770e+000    2.077168252395632e+000
 56    1.812185001485073e+000    1.817428707496281e+000    2.100525245263412e+000
 57    1.834908184251005e+000    1.898750707943837e+000    2.147259094720584e+000
