   (     54,     55,     71 )
   (     72,     71,     55 )
   (     55,     56,     72 )
   (     73,     72,     56 )
   (     56,     57,     73 )
   (     74,     73,     57 )
   (     57,     58,     74 )
   (     75,     74,     58 )
   (     58,     59,     75 )
   (     76,     75,     59 )
   (     59,     60,     76 )
   (     77,     76,     60 )
   (     60,     61,     77 )
   (     78,     77,     61 )
   (     61,     62,     78 )
   (     79,     78,     62 )
   (     62,     63,     79 )
   (     80,     79,     63 )
   (     63,     64,     80 )
   (     81,     80,     64 )
   (     64,     65,     81 )
   (     82,     81,     65 )
   (     65,     66,     82 )
   (     83,     82,     66 )
   (     66,     67,     83 )
   (     84,     83,     67 )
   (     67,     68,     84 )
   (     85,     84,     68 )
   (     69,     70,     86 )
   (     87,     86,     70 )
   (     70,     71,     87 )
   (     88,     87,     71 )
   (     71,     72,     88 )
   (     89,     88,     72 )
   (     72,     73,     89 )
   (     90,     89,     73 )
   (     73,     74,     90 )
   (     91,     90,     74 )
   (     74,     75,     91 )
   (     92,     91,     75 )
   (     75,     76,     92 )
   (     93,     92,     76 )
   (     76,     77,     93 )
   (     94,     93,     77 )
   (     77,     78,     94 )
   (     95,     94,     78 )
   (     78,     79,     95 )
   (     96,     95,     79 )
   (     79,     80,     96 )
   (     97,     96,     80 )
   (     80,     81,     97 )
   (     98,     97,     81 )
   (     81,     82,     98 )
   (     99,     98,     82 )
   (     82,     83,     99 )
   (    100,     99,     83 )
   (     83,     84,    100 )
   (    101,    100,     84 )
   (     84,     85,    101 )
   (    102,    101,     85 )
   (     86,     87,    103 )
   (    104,    103,     87 )
   (     87,     88,    104 )
   (    105,    104,     88 )
   (     88,     89,    105 )
   (    106,    105,     89 )
   (     89,     90,    106 )
   (    107,    106,     90 )
   (     90,     91,    107 )
   (    108,    107,     91 )
   (     91,     92,    108 )
   (    109,    108,     92 )
   (     92,     93,    109 )
   (    110,    109,     93 )
   (     93,     94,    110 )
   (    111,    110,     94 )
   (     94,     95,    111 )
   (    112,    111,     95 )
   (     95,     96,    112 )
   (    113,    112,     96 )
   (     96,     97,    113 )
   (    114,    113,     97 )
   (     97,     98,    114 )
   (    115,    114,     98 )
   (     98,     99,    115 )
   (    116,    115,     99 )
   (     99,    100,    116 )
   (    117,    116,    100 )
   (    100,    101,    117 )
   (    118,    117,    101 )
   (    101,    102,    118 )
   (    119,    118,    102 )
   (    103,    104,    120 )
   (    121,    120,    104 )
   (    104,    105,    121 )
   (    122,    121,    105 )
   (    105,    106,    122 )
   (    123,    122,    106 )
   (    106,    107,    123 )
   (    124,    123,    107 )
   (    107,    108,    124 )
   (    125,    124,    108 )
   (    108,    109,    125 )
   (    126,    125,    109 )
   (    109,    110,    126 )
   (    127,    126,    110 )
   (    110,    111,    127 )
   (    128,    127,    111 )
   (    111,    112,    128 )
   (    129,    128,    112 )
   (    112,    113,    129 )
   (    130,    129,    113 )
   (    113,    114,    130 )
   (    131,    130,    114 )
   (    114,    115,    131 )
   (    132,    131,    115 )
   (    115,    116,    132 )
   (    133,    132,    116 )
   (    116,    117,    133 )
   (    134,    133,    117 )
   (    117,    118,    134 )
   (    135,    134,    118 )
   (    118,    119,    135 )
   (    136,    135,    119 )
   (    120,    121,    137 )
   (    138,    137,    121 )
   (    121,    122,    138 )
   (    139,    138,    122 )
   (    122,    123,    139 )
   (    140,    139,    123 )
   (    123,    124,    140 )
   (    141,    140,    124 )
   (    124,    125,    141 )
   (    142,    141,    125 )
   (    125,    126,    142 )
   (    143,    142,    126 )
   (    126,    127,    143 )
   (    144,    143,    127 )
   (    127,    128,    144 )
   (    145,    144,    128 )
   (    128,    129,    145 )
   (    146,    145,    129 )
   (    129,    130,    146 )
   (    147,    146,    130 )
   (    130,    131,    147 )
   (    148,    147,    131 )
   (    131,    132,    148 )
   (    149,    148,    132 )
   (    132,    133,    149 )
   (    150,    149,    133 )
   (    133,    134,    150 )
   (    151,    150,    134 )
   (    134,    135,    151 )
   (    152,    151,    135 )
   (    135,    136,    152 )
   (    153,    152,    136 )
   (    137,    138,    154 )
   (    155,    154,    138 )
   (    138,    139,    155 )
   (    156,    155,    139 )
   (    139,    140,    156 )
   (    157,    156,    140 )
   (    140,    141,    157 )
   (    158,    157,    141 )
   (    141,    142,    158 )
   (    159,    158,    142 )
   (    142,    143,    159 )
   (    160,    159,    143 )
   (    143,    144,    160 )
   (    161,    160,    144 )
   (    144,    145,    161 )
   (    162,    161,    145 )
   (    145,    146,    162 )
   (    163,    162,    146 )
   (    146,    147,    163 )
   (    164,    163,    147 )
   (    147,    148,    164 )
   (    165,    164,    148 )
   (    148,    149,    165 )
   (    166,    165,    149 )
   (    149,    150,    166 )
   (    167,    166,    150 )
   (    150,    151,    167 )
   (    168,    167,    151 )
   (    151,    152,    168 )
   (    169,    168,    152 )
   (    152,    153,    169 )
   (    170,    169,    153 )
   (    154,    155,    171 )
   (    172,    171,    155 )
   (    155,    156,    172 )
   (    173,    172,    156 )
   (    156,    157,    173 )
   (    174,    173,    157 )
   (    157,    158,    174 )
   (    175,    174,    158 )
   (    158,    159,    175 )
   (    176,    175,    159 )
   (    159,    160,    176 )
   (    177,    176,    160 )
   (    160,    161,    177 )
   (    178,    177,    161 )
   (    161,    162,    178 )
   (    179,    178,    162 )
   (    162,    163,    179 )
   (    180,    179,    163 )
   (    163,    164,    180 )
   (    181,    180,    164 )
   (    164,    165,    181 )
   (    182,    181,    165 )
   (    165,    166,    182 )
   (    183,    182,    166 )
   (    166,    167,    183 )
   (    184,    183,    167 )
   (    167,    168,    184 )
   (    185,    184,    168 )
   (    168,    169,    185 )
   (    186,    185,    169 )
   (    169,    170,    186 )
   (    187,    186,    170 )
   (    171,    172,    188 )
   (    189,    188,    172 )
   (    172,    173,    189 )
   (    190,    189,    173 )
   (    173,    174,    190 )
   (    191,    190,    174 )
   (    174,    175,    191 )
   (    192,    191,    175 )
   (    175,    176,    192 )
   (    193,    192,    176 )
   (    176,    177,    193 )
   (    194,    193,    177 )
   (    177,    178,    194 )
   (    195,    194,    178 )
   (    178,    179,    195 )
   (    196,    195,    179 )
   (    179,    180,    196 )
   (    197,    196,    180 )
   (    180,    181,    197 )
   (    198,    197,    181 )
   (    181,    182,    198 )
   (    199,    198,    182 )
   (    182,    183,    199 )
   (    200,    199,    183 )
   (    183,    184,    200 )
   (    201,    200,    184 )
   (    184,    185,    201 )
   (    202,    201,    185 )
   (    185,    186,    202 )
   (    203,    202,    186 )
   (    186,    187,    203 )
   (    204,    203,    187 )
   (    188,    189,    205 )
   (    206,    205,    189 )
   (    189,    190,    206 )
   (    207,    206,    190 )
   (    190,    191,    207 )
   (    208,    207,    191 )
   (    191,    192,    208 )
   (    209,    208,    192 )
   (    192,    193,    209 )
   (    210,    209,    193 )
   (    193,    194,    210 )
   (    211,    210,    194 )
   (    194,    195,    211 )
   (    212,    211,    195 )
   (    195,    196,    212 )
   (    213,    212,    196 )
   (    196,    197,    213 )
   (    214,    213,    197 )
   (    197,    198,    214 )
   (    215,    214,    198 )
   (    198,    199,    215 )
   (    216,    215,    199 )
   (    199,    200,    216 )
   (    217,    216,    200 )
   (    200,    201,    217 )
   (    218,    217,    201 )
   (    201,    202,    218 )
   (    219,    218,    202 )
   (    202,    203,    219 )
   (    220,    219,    203 )
   (    203,    204,    220 )
   (    221,    220,    204 )
   (    205,    206,    222 )
   (    223,    222,    206 )
   (    206,    207,    223 )
   (    224,    223,    207 )
   (    207,    208,    224 )
   (    225,    224,    208 )
   (    208,    209,    225 )
   (    226,    225,    209 )
   (    209,    210,    226 )
   (    227,    226,    210 )
   (    210,    211,    227 )
   (    228,    227,    211 )
   (    211,    212,    228 )
   (    229,    228,    212 )
   (    212,    213,    229 )
   (    230,    229,    213 )
   (    213,    214,    230 )
   (    231,    230,    214 )
   (    214,    215,    231 )
   (    232,    231,    215 )
   (    215,    216,    232 )
   (    233,    232,    216 )
   (    216,    217,    233 )
   (    234,    233,    217 )
   (    217,    218,    234 )
   (    235,    234,    218 )
   (    218,    219,    235 )
   (    236,    235,    219 )
   (    219,    220,    236 )
   (    237,    236,    220 )
   (    220,    221,    237 )
   (    238,    237,    221 )
   (    222,    223,    239 )
   (    240,    239,    223 )
   (    223,    224,    240 )
   (    241,    240,    224 )
   (    224,    225,    241 )
   (    242,    241,    225 )
   (    225,    226,    242 )
   (    243,    242,    226 )
   (    226,    227,    243 )
   (    244,    243,    227 )
   (    227,    228,    244 )
   (    245,    244,    228 )
   (    228,    229,    245 )
   (    246,    245,    229 )
   (    229,    230,    246 )
   (    247,    246,    230 )
   (    230,    231,    247 )
   (    248,    247,    231 )
   (    231,    232,    248 )
   (    249,    248,    232 )
   (    232,    233,    249 )
   (    250,    249,    233 )
   (    233,    234,    250 )
   (    251,    250,    234 )
   (    234,    235,    251 )
   (    252,    251,    235 )
   (    235,    236,    252 )
   (    253,    252,    236 )
   (    236,    237,    253 )
   (    254,    253,    237 )
   (    237,    238,    254 )
   (    255,    254,    238 )
   (    239,    240,    256 )
   (    257,    256,    240 )
   (    240,    241,    257 )
   (    258,    257,    241 )
   (    241,    242,    258 )
   (    259,    258,    242 )
   (    242,    243,    259 )
   (    260,    259,    243 )
   (    243,    244,    260 )
   (    261,    260,    244 )
   (    244,    245,    261 )
   (    262,    261,    245 )
   (    245,    246,    262 )
   (    263,    262,    246 )
   (    246,    247,    263 )
   (    264,    263,    247 )
   (    247,    248,    264 )
   (    265,    264,    248 )
   (    248,    249,    265 )
   (    266,    265,    249 )
   (    249,    250,    266 )
   (    267,    266,    250 )
   (    250,    251,    267 )
   (    268,    267,    251 )
   (    251,    252,    268 )
   (    269,    268,    252 )
   (    252,    253,    269 )
   (    270,    269,    253 )
   (    253,    254,    270 )
   (    271,    270,    254 )
   (    254,    255,    271 )
   (    272,    271,    255 )
   (    256,    257,    273 )
   (    274,    273,    257 )
   (    257,    258,    274 )
   (    275,    274,    258 )
   (    258,    259,    275 )
   (    276,    275,    259 )
   (    259,    260,    276 )
   (    277,    276,    260 )
   (    260,    261,    277 )
   (    278,    277,    261 )
   (    261,    262,    278 )
   (    279,    278,    262 )
   (    262,    263,    279 )
   (    280,    279,    263 )
   (    263,    264,    280 )
   (    281,    280,    264 )
   (    264,    265,    281 )
   (    282,    281,    265 )
   (    265,    266,    282 )
   (    283,    282,    266 )
   (    266,    267,    283 )
   (    284,    283,    267 )
   (    267,    268,    284 )
   (    285,    284,    268 )
   (    268,    269,    285 )
   (    286,    285,    269 )
   (    269,    270,    286 )
   (    287,    286,    270 )
   (    270,    271,    287 )
   (    288,    287,    271 )
   (    271,    272,    288 )
   (    289,    288,    272 );

# ... i-j coordinates (i=0 => x=0, i=n => x=1 etc)
param: i_ref, j_ref   :=
    1    0    0
    2    1    0
    3    2    0
    4    3    0
    5    4    0
    6    5    0
    7    6    0
    8    7    0
    9    8    0
   10    9    0
   11   10    0
   12   11    0
   13   12    0
   14   13    0
   15   14    0
   16   15    0
   17   16    0
   18    0    1
   19    1    1
   20    2    1
   21    3    1
   22    4    1
   23    5    1
   24    6    1
   25    7    1
   26    8    1
   27    9    1
   28   10    1
   29   11    1
   30   12    1
   31   13    1
   32   14    1
   33   15    1
   34   16    1
   35    0    2
   36    1    2
   37    2    2
   38    3    2
   39    4    2
   40    5    2
   41    6    2
   42    7    2
   43    8    2
   44    9    2
   45   10    2
   46   11    2
   47   12    2
   48   13    2
   49   14    2
   50   15    2
   51   16    2
   52    0    3
   53    1    3
   54    2    3
   55    3    3
   56    4    3
   57    5    3
   58    6    3
   59    7    3
   60    8    3
   61    9    3
   62   10    3
   63   11    3
   64   12    3
   65   13    3
   66   14    3
   67   15    3
   68   16    3
   69    0    4
   70    1    4
   71    2    4
   72    3    4
   73    4    4
   74    5    4
   75    6    4
   76    7    4
   77    8    4
   78    9    4
   79   10    4
   80   11    4
   81   12    4
   82   13    4
   83   14    4
   84   15    4
   85   16    4
   86    0    5
   87    1    5
   88    2    5
   89    3    5
   90    4    5
   91    5    5
   92    6    5
   93    7    5
   94    8    5
   95    9    5
   96   10    5
   97   11    5
   98   12    5
   99   13    5
  100   14    5
  101   15    5
  102   16    5
  103    0    6
  104    1    6
  105    2    6
  106    3    6
  107    4    6
  108    5    6
  109    6    6
  110    7    6
  111    8    6
  112    9    6
  113   10    6
  114   11    6
  115   12    6
  116   13    6
  117   14    6
  118   15    6
  119   16    6
  120    0    7
  121    1    7
  122    2    7
  123    3    7
  124    4    7
  125    5    7
  126    6    7
  127    7    7
  128    8    7
  129    9    7
  130   10    7
  131   11    7
  132   12    7
  133   13    7
  134   14    7
  135   15    7
  136   16    7
  137    0    8
  138    1    8
  139    2    8
  140    3    8
  141    4    8
  142    5    8
  143    6    8
  144    7    8
  145    8    8
  146    9    8
  147   10    8
  148   11    8
  149   12    8
  150   13    8
  151   14    8
  152   15    8
  153   16    8
  154    0    9
  155    1    9
  156    2    9
  157    3    9
  158    4    9
  159    5    9
  160    6    9
  161    7    9
  162    8    9
  163    9    9
  164   10    9
  165   11    9
  166   12    9
  167   13    9
  168   14    9
  169   15    9
  170   16    9
  171    0   10
  172    1   10
  173    2   10
  174    3   10
  175    4   10
  176    5   10
  177    6   10
  178    7   10
  179    8   10
  180    9   10
  181   10   10
  182   11   10
  183   12   10
  184   13   10
  185   14   10
  186   15   10
  187   16   10
  188    0   11
  189    1   11
  190    2   11
  191    3   11
  192    4   11
  193    5   11
  194    6   11
  195    7   11
  196    8   11
  197    9   11
  198   10   11
  199   11   11
  200   12   11
  201   13   11
  202   14   11
  203   15   11
  204   16   11
  205    0   12
  206    1   12
  207    2   12
  208    3   12
  209    4   12
  210    5   12
  211    6   12
  212    7   12
  213    8   12
  214    9   12
  215   10   12
  216   11   12
  217   12   12
  218   13   12
  219   14   12
  220   15   12
  221   16   12
  222    0   13
  223    1   13
  224    2   13
  225    3   13
  226    4   13
  227    5   13
  228    6   13
  229    7   13
  230    8   13
  231    9   13
  232   10   13
  233   11   13
  234   12   13
  235   13   13
  236   14   13
  237   15   13
  238   16   13
  239    0   14
  240    1   14
  241    2   14
  242    3   14
  243    4   14
  244    5   14
  245    6   14
  246    7   14
  247    8   14
  248    9   14
  249   10   14
  250   11   14
  251   12   14
  252   13   14
  253   14   14
  254   15   14
  255   16   14
  256    0   15
  257    1   15
  258    2   15
  259    3   15
  260    4   15
  261    5   15
  262    6   15
  263    7   15
  264    8   15
  265    9   15
  266   10   15
  267   11   15
  268   12   15
  269   13   15
  270   14   15
  271   15   15
  272   16   15
  273    0   16
  274    1   16
  275    2   16
  276    3   16
  277    4   16
  278    5   16
  279    6   16
  280    7   16
  281    8   16
  282    9   16
  283   10   16
  284   11   16
  285   12   16
  286   13   16
  287   14   16
  288   15   16
  289   16   16;

# ... boundary nodes
set bnd_nodes :=  1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  
  11,  12,  13,  14,  
  15,  16,  17,  34,  51,  68,  85, 102, 119, 136, 153, 170, 187, 204,
 221, 238, 255, 272,  18,  35,  52,  69,  86, 103, 120, 137, 154, 171,
 188, 205, 222, 239, 256, 273, 289, 288, 287, 286, 285, 284, 283, 282,
 281, 280, 279, 278, 277, 276, 275, 274 ;

# ... boundary conditions
let{i in bnd_nodes} u0[i] := 0.0;

# ... region, where membrane is fixed to obstacle (in interior)
let Omega0 := { };
for {k in int_nodes} 
   if (d1<=i_ref[k])&&(i_ref[k]<=d2)&&
      (n<=4*j_ref[k])&&(4*j_ref[k]<=3*n) 
   then { let Omega0 := Omega0 union { k } };
