# random QPEC data from matlab

param n := 50   ;
param m := 60   ;
param p := 50   ;

param	 	A
	:                 1                     2                     3  :=
	18      0.814446079270204      1.138611009918071     -3.478678838026044
	19     -2.416460119158842      2.317103837733467      1.764524269358492
	20     0.9807143026360263     -2.524507216514228     0.3421620137477221
	21    -0.4595330324915095     -3.853182717737824     -3.178252258577113
	22     -2.605185296014496       2.88575587140667    -0.9167708935444772
	23      3.094401278775467      1.174623371020428     -2.212496789346946
	24      2.631398188181785     -3.410813964953884     -3.780689936575535
	25     -3.357953004138458     0.6043558430440434     0.7957421974540644
	26   -0.0008432105696640768      1.117678327908561     -1.789622111226393
	27     -3.973100397801192     -1.950591150150006     -3.091329371381359
	28     0.7818469565294013     -3.647473119339008     -2.774496303684529
	29     -1.222534506585836     -2.601922395732974     -2.523216038389397
	30      2.734844579976307     -3.242634413621101     -2.137624398958993
	31     0.5913869699367131      -2.96097591105032     0.7278650410122101
	32      2.996774631048564      2.253288671478424    -0.1295451179379405
	33    -0.2797766715477059     -2.621061814104429      1.610171950432198
	34     0.3941114511627699     0.4089573156669601     -3.689869608660573
	35      1.048570851000145     0.1137773002854674     -1.122796385401653
	36      1.530452376707002      2.399909346191683     -2.526693668692954
	37    -0.1573526474287901      1.681939755866401     0.1729013249077251
	38      -3.92291810272475     -1.314759018667991     -2.187031252961107
	39      3.096974497973154     -1.799395554329671     -0.749641712162926
	40     -3.382655948807791      3.294275656694562      1.914563236226523
	41     -3.745621928452834    -0.8780658287530971      2.922608960134664
	42      3.553979356409172     -1.104124036183846      3.306229712635031
	43      3.142095034689449       -1.3241110345936     -1.220147871319569
	44     -2.442573649925974      3.363233311944067     -3.783754616273878
	45     -1.608811448216667     -0.516008360968645     -1.813564886662343
	46       3.91103747460679     -3.822948882159248       -3.2474942194914
	47     0.6270792804691441      1.709452755809302      1.914057161309823
	48    -0.6474273866324634      2.849991664463721     -2.410911998090221
	49     -3.246291388560169     -3.038992262507647     -1.140324627649341
	50     -1.475268403693105     -1.253718573146765     -3.904603607628125

	:                 7                     8                     9  :=
	1     -0.4451848643993066      1.728871933831256     -3.866574204801421
	2      -2.574784373301779     0.2460107522578667    -0.7941881360284553
	3      0.7444838869395278       2.95614184011619      3.086107262178735
	4       3.832449082014948    -0.8325642153314661     -1.738828447644656
	5      -2.442232218453993      1.901852796098725     -3.190265096064837
	6      0.5881319733298236     -3.134849109403463      2.846453811357211
	7      -2.764017161997732     -1.667921797442365    -0.1545570583195026
	8      -2.217839432877133      1.891391329287834      3.110657137726749
	9     -0.4245556039385137      1.548472856902237     -2.987196959814899
	10      3.186251912764015      1.000439349170615     -1.762463832714825
	11   -0.05114363263215083     -2.054953989058143      3.403100188338568
	12     0.3761237037255913     -1.111718180156505     -1.033360910783921
	13     -3.462649805038944      -3.75551297889066     0.8654580104469094
	14    -0.2489201072129474     -1.911479890226456      3.378777229996039
	15    -0.7582261910220214      3.815147079536691     -1.090813645951744
	16     -2.399280095790682      3.477405300543588    -0.7544391113051363
	17    -0.7942023564405072     -3.075613280179107     -3.553607493615286
	18    0.03134637214305158    -0.9891739771998522      0.655767190798584
	19      1.659366945598546    -0.3678939228234772     -1.499792022856567
	20      1.881412985413404        1.3804888252034    -0.8774949093964617
	21     -1.427381090999085   -0.05905694582946541    -0.1750736550057752
	22     -2.736520899797912     -2.263578337385391     -1.596127359525743
	23     -2.883295859445663     0.2573735043815448     -2.815456150914298
	24     -3.904328896957076     -3.522442010042578     -2.490447850132638
	25      1.679809988685791       3.84045059822424      3.561111178667945
	26     -3.681344048277647     -1.274503208603332      2.507539474214471
	27    -0.4879322423784531     -1.088454176085845      1.860317164708818
	28      1.076744190812039     -3.324928157301617     -1.382146504082988
	29     -2.073495337745358     -1.752571356109955     0.7549011455320356
	30    -0.5172965435325678    0.09235551091857008     -2.010781077967274
	31      2.283263610376007       2.32673924892365     -3.629054985048447
	32      2.564749221282595      -3.85282758574893      -1.67832770673615
	33      1.402173669279944    -0.5493840616920633    0.06233871121498247
	34      2.241028777630575      1.327888268611503     -2.607561796326917
	35     -3.204746982407247     -3.045790021270658      3.398928693351063
	36     0.2754094944382457     -1.698636527338147     -3.986974065109123
	37     -1.538647304228586      0.370156235640696     -1.951192068082601
	38      1.333551296023511     -2.048113699097478     -2.848089270443495
	39       2.68086960462607     -3.487729845368952     -1.936040322711922
	40      3.725668395280802     -3.605163883881706      3.664485202195182
	41      1.136755754095306      3.715163928850417     -3.057321356195811
	42      2.124671279903713      2.516582320250156      2.166929895126472
	43     0.6823634235366978     -2.414035368703629     0.9036984891793125
	44      -2.55454802242425     0.6792268715805143     -1.062836240362996
	45      3.899075717747063     -3.650505718284057     -3.973365136373156
	46     -1.562244182510519     0.7313484508524377      2.832941692839417
	47     -1.362995792112447     -2.738883860701526     -3.029523187817106
	48    -0.2998780970962951      3.898570460623393      1.104214620849887
	49       -3.3267706883788      2.224817115980292     0.1319965906565397
	50   -0.01123480690529055      2.902786802223244       2.01247023505054

	:                10                    11                    12  :=
	1      -3.561135510562869    -0.1121741166646926     -2.556339305579234
	2       2.868403895572206     -0.567994676953739     -2.863022158352873
	3      -2.721225753189163      3.121124462961864     0.4409584275665388
	4      -2.772944106486541     -2.410442624983245       2.21953455826455
	5      -1.498113700730939      2.278143550903502     -2.996243237202673
	6        1.15616108887025     0.9919510279307744    -0.1981931896863522
	7      0.8768663192819135     0.7384090698976813     -2.046495408797407
	8       2.341816854016156      1.344318749546491      2.045203727178647
	9      0.5211107633821248     -3.288072092794021      -2.70108976276129
	10      1.834046081404599       3.35000090327324      2.025718687059212
	11      1.278407372924575     -2.400819954257192      3.133123843137717
	12     -0.704183639654191      2.059213645020462     -1.222444517109216
	13     -3.624209449894708     0.8526006583383214     -2.702472474468449
	14       3.86384819464937     -3.430278717674835    -0.8534745044622332
	15     -3.651198312249182     0.8318319868747741     -2.766948777416193
	16      1.869115201272495      2.143457798658637       2.08163087089258
	17     0.2430283572843157      -3.80174692717933      1.588044179405879
	18     0.7261057167035458      -2.39999784036673     -3.690495368118798
	19      1.329405581655069      -1.15308306704573      -1.80138257730867
	20     0.6645285426453267     0.4250325546204943     -1.505149694841673
	21    -0.3330033372082308     -1.495353512335517     -2.024644717171183
	22      2.424112640275898     0.5960096232092615      2.294715011612126
	23     -3.766766630175598      3.924365836028668     0.2724426599562246
	24     -1.908219414874984     -3.594387273976924     -2.688938449551276
	25    -0.2924181295232131      -1.46666591911538      1.437643267378028
	26      1.376528922032497     0.4668504674767497       2.11186029673458
	27     -3.128747632103428      3.091150275824735      2.190243486008218
	28       1.36557511221228      -2.32505363759233      -1.49815904676671
	29      3.191055631857862      2.835431825789173     0.5242424050786845
	30    -0.4729089906115882    -0.3252584539201275     -1.619012242776337
	31      0.264294990278926     -3.534712963979208     0.9572159339831421
	32   -0.08407414537145641     -3.074886700315398      -2.65282868628893
	33      3.794450942919475     0.6869328981789389      3.339005584705665
	34     -2.415626856895847     -2.714670219872593     0.5655568642178279
	35    -0.5515741802007152     -2.782828956741222     -3.681628014116996
	36        3.7953279750826      2.343568958340883     0.8329898603932264
	37    -0.2181912771819174     0.8685883375228354     -3.389256750190631
	38      1.960451323415689      2.793947073715271      2.064972862350189
	39     0.7963452838401377      -1.29095817898545     -3.146463017285154
	40      3.682846750170621     0.7769244139350926     -2.094108036588897
	41     -1.850341870952382    -0.5679152471023037      -3.11239007726317
	42     -1.739142686623063       2.59533508683927     -3.320582289445283
	43      1.826933379830715     -1.340650522648675     0.9656540339303437
	44      2.436971878058854     -3.549331573789169     -1.531694102727665
	45      3.362637383923115       1.89110808112225     0.7306086359761785
	46     -1.055020869903034      1.142600876342682    -0.6730785855270702
	47    0.07452470593654681     -1.637973669038284       3.21225442090611
	48    -0.1242119885455906    -0.5226810465493683   0.006892719341404785
	49    -0.2362754560105542      2.709378077755795     -3.356408139240951
	50     0.8915040746095411       1.56835654715032      1.214284260732882

	:                13                    14                    15  :=
	1        1.30779805077283     -1.448284401135192       1.61968758534205
	2      -0.694577686556733   -0.0007649554760686961     -3.214958500161393
	3       3.180000409867774     -2.778298971245463      1.461106777389244
	4       1.479966367589397      1.425828812732465    -0.3661793679972223
	5      -1.654916742465477     -1.917411791315567     -2.900355097344598
	6       0.402399497886095     0.7790583763076642      3.911426722497906
	7     -0.6939752225943341       1.59942322840934     -1.397439647068687
	8       3.474221166542026     -1.263464323774986      2.974038299965993
	9       3.851000306166585     -1.473773810870974      2.152483843325009
	10     -2.649758460985888     -1.376668305699866      1.126470794120511
	11     -1.679534840306868    -0.7457229659726994     -2.360057498108442
	12      2.931663465143896       -2.4619765546724     -1.170943503156594
	13      1.535675109269389      2.257097204849194      2.294464923043504
	14    -0.7763375469034344   -0.07669374777124727    -0.6397910064356078
	15      1.744660876703181    -0.6410987946429931     -1.970827567097826
	16      2.584095725673723     -2.753822695507864    -0.6372253520819378
	17     -2.469365540592647      2.881086423584946     -3.567772858254308
	18      0.747163909017555     -3.344698488771618     0.8267834421012363
	19     -2.467426785945143     -3.759253887123746     0.9181138675027247
	20     -3.576361260679987    -0.8205975788599664      2.420527723597125
	21     -2.544498033965106    0.09110146644363759      2.587996095451213
	22     0.2581302134065648      1.315920781314157     0.8113553136367431
	23      1.601859171265025     -1.237585712625207     -3.120940873742201
	24    -0.3784138125557446    -0.7446645791116326       3.21687144799072
	25     -2.186062127483335     -3.758979002420775       3.91933097951043
	26     -2.056181561606178     0.1562956331368506      -2.56388119129878
	27      2.015673524170865     -2.315763382746602     -3.977995676431519
	28     0.4311463629904546     0.9025906461914026       3.74887491544357
	29      1.818318355270727     -1.239947126354218    0.04853140162217073
	30     -2.937376412124331      3.198043194304432      2.075530208665002
	31     0.2095170009528236     -2.889880418631478    -0.8488572446443117
	32      2.966595951257073    0.04746365249534268      1.129246989956683
	33      -1.11839647046696     -1.611771733489186     -3.822319792740189
	34     -2.597176152416156     -3.712169873064081     -2.155492389696997
	35    0.04382626105700815      2.027550129144378     -2.495616946198713
	36      2.154633876572009      3.634853587991367     -2.082798585953142
	37     -3.834259296875413      3.040278609204641     0.7278007266629807
	38      3.537420390279014      3.209681819241526      -3.78811922362425
	39     0.8002555240051148     -3.839584578942307      2.900610516663876
	40      2.112938419118263     -2.681506331308423      1.927386276710897
	41     -1.443497906151149      2.026766404364935     0.5518817741764828
	42      2.418875104450867      1.585301550034897     -1.644923807395754
	43     -3.382034492504035      1.558823867593185     -3.775455784084737
	44     -1.420628429541082     -3.877091300769782      1.914325052614309
	45       1.13444109750794     -2.431639808476529    -0.9956403346128488
	46      -3.92632958265603     -3.811114782355113      -1.80057473879465
	47     0.5539692663282088      2.589841681520672     -1.743579602840933
	48      0.790500358258333     -3.183906339099282       2.46357050703996
	49     0.3022854429195805     -2.080511661999314     -1.918762042569674
	50     -3.062840888103899    -0.8485002437294136      2.300350789270172

	:                16                    17                    18  :=
	1       2.592460127031242     0.7531257439922383       1.23765767994774
	2      -2.720260427445718     -3.005421054266165    -0.2443683534687304
	3     -0.7086477264400179     -3.434103589548378      1.459403715286547
	4      -1.720093716771378      3.018036394795774     -2.657887687570994
	5      -1.749094342358531      3.974304823742197    -0.6486293815981772
	6      0.3148947217580211      1.251071199380999      2.254861172007676
	7       1.539334648602751      1.306729933161045     -3.129491521394385
	8      -3.502862940095441      3.362938796451036      0.980767499702103
	9       2.316196034727607     -3.377361280535405     -1.995141276607741
	10      0.758563199571693     -1.301122621339855     -1.829331666391471
	11     -2.946396925355602    -0.7319481413679032     -3.778322543847185
	12      0.607600373447994    -0.5732771008757509     -2.802370913134425
	13     -1.355700973289387      3.773523252573753     -2.309499503692821
	14     -1.419308473117573      2.344468781597372    -0.5016208899151917
	15    -0.6906647673393729    -0.6956601296660785     -1.138883527331406
	16      2.995198180240007       3.97147940364172    -0.9192625542528909
	17      2.426094130030785     0.2725880568990338      3.604758293619626
	18     -3.471460821204821      3.929844051844934     -2.914110008712474
	19     -2.448553448304087     -1.478124660198346     0.3447124089267275
	20     -3.945780957622816     -3.940604575722832       0.47945173033491
	21     -3.970329116272977     -3.774155663456647      2.087562382862857
	22     -1.280386148971016     -2.933884227323551       1.45964308462355
	23       3.09850457764251     0.7511344380110936      3.648521650112436
	24    -0.7057579566524534     0.2666931194221895    -0.3304112065364371
	25     0.1458680364804206     -2.537273361090552      1.427534526141079
	26      0.375297246741737    0.07088638745509801      1.587785948035592
	27      2.063636843370974     -2.604977647381268    -0.9260535558581924
	28     -2.946079841087201    -0.0213547532396583      1.496791274192624
	29      -1.78126669705431      1.054808934945863     0.6102774332342893
	30     0.7121184905413331      3.574482911982328     -2.101850636877933
	31      2.234145492192313      3.959071849347117      3.261290397599517
	32      2.190894474256176     -1.576487670133527     -0.141657305175559
	33       -1.7590499823521    -0.4569645790398753      3.657879444505618
	34     0.2300384575574581      3.970668139096418      2.663572656055267
	35     0.5142939449252388      0.609807945791994     -3.703466439940156
	36       3.50782144056065     0.9492856458400301     0.3486709120625315
	37     -2.902442545961076      2.391482554693837     -2.326757939953819
	38      2.583887690272426     0.4164608859630921      2.537595315546927
	39      3.597408680759178     0.9114446435496193    -0.1787347277530826
	40     0.5329669978127383    -0.6241457390921958      -1.70165527483247
	41     -3.524296484643159      3.333816596819411     -2.623894153920482
	42     -2.473765162895717      -1.46231001033446      2.652297394960043
	43     0.1373167887011872      2.592479664455241     -3.282395973627408
	44     -3.722459167995784      3.160702423542607      -1.09811960304432
	45     -2.353264124162507      1.307573705015187     0.8149205111796549
	46      3.874266317832156     -1.880358766667527     0.4210901463062271
	47      3.162412438911894      3.506515641914973     -2.357991697002241
	48      1.571604880599851      3.631964585862709     -2.514205651177654
	49     0.5026926915344632      2.372313984884762      1.859052599839706
	50     -3.070075474883713     0.7319357975714817      -3.07460828807397

	:                19                    20                    21  :=
	1       3.897173828013766     -1.206819855209417     -1.406955997188442
	2      0.8608105730983846     -1.179700751312064      -2.53786889556501
	3     -0.1695780595912253     -3.830925778240593      2.351772760779848
	4      -1.763686590865412    -0.8207653160408341     -2.367516250865374
	5       1.712063429624594     -3.804038921319968     0.2537601622293089
	6       3.356898712718224      3.151991264667366     0.5604968499757934
	7     -0.2313696456867254      2.612978788368883     -3.297611410129111
	8     -0.9102646782456243     -2.129344556310802     -2.024211844390337
	9       1.537396645689857      2.692625774130991     0.4656278548732686
	10     -1.496270775417385     -0.445291173318231      1.522370824785625
	11      3.748610362256698    -0.2068821734874065      2.347930599272853
	12     -3.488447757554993     -1.619964674482599      2.750690481622647
	13     0.2481370696407303     -2.610856586802314     -0.154551656440717
	14     0.1695773861805412     -3.017206291564436    -0.9098719689843362
	15     -1.604270750958816      3.107303907576461      1.681254190689439
	16     -3.441649918149487     -3.100380861747002      2.713280590441715
	17    -0.8425929981145992       1.58955010275289   -0.01202285669846681
	18      2.509206060455536      1.202356962916022      1.208737568286721
	19      1.180242539296282     0.7176184499393621     -2.514739902652209
	20     -2.481479090345418      3.597378951205239       2.40899830852961
	21     -1.492357102626846       2.26750117505433    -0.6712350082235643
	22      3.850582812045865     -1.986243831173705      0.170996860355956
	23     -3.946995155408429       2.25879261337692      2.774133793536044
	24      1.125371278164899      2.823229692783729     -2.314952550434223
	25      3.718080111562463      -1.17904045821823     -3.884008186911974
	26     -3.966741027807845      3.427020191954162      1.036610880168906
	27    -0.4769909568124056      2.881849414185224     -2.669115565658804
	28     -2.075580262901198      1.515226352512932     -1.213699925699724
	29      1.285454308015601    -0.2466111768415882     -2.226017546808839
	30     -2.822739204076576      2.918038975879316      1.441895693143374
	31    -0.7120642534871791      3.537691981632835     -3.020618073880448
	32       2.09896214494605      2.689433113868362     0.5573240135345747
	33     0.7635358448925373      3.276360888575669      2.036010604455904
	34    -0.5933030121110376     0.5121990180740452      2.326610877101972
	35     0.8860563354598661      2.992237042771801      3.964645909353263
	36     -2.151359400225898     0.4561746408870766      1.172163131936292
	37     -1.235704810333299       3.62025543080185     -2.258957296106842
	38     -2.698929844644617     -2.083220212624763     -3.046593404585057
	39    -0.1202881997083218     -1.431582735719907    -0.5080771259977048
	40     -2.315630884563499    -0.7659762904008858     0.7921116764021372
	41     -3.851139777465988     -2.783893022161544      1.456170235349281
	42      2.689398080812046      2.725401678101896      -1.80754189199468
	43     -2.667246885646889     -1.930337229066579    -0.4782263990426912
	44     -1.806063549929048     -2.107535894504475      1.300215164507708
	45      3.961317359497577      2.775608753768736      3.570673535357789
	46      2.046753300573254     0.0887247246505618      1.427334868677071
	47     0.7375707076835303      1.641766871806863     0.9308007893775425
	48      0.691026881212669     -1.045947715367406     -2.487167965687491
	49      1.438568211114021     -1.928947729355163     -1.495523774927113
	50     -3.062889536207221     -1.790773085932327     -2.155186025470711

	:                22                    23                    24  :=
	1      -3.397071901524839     -1.623132261779236      1.123804290741288
	2       3.968499113644181     -3.379489601638907      3.632579848579484
	3      -3.052042598186488     0.0643217400815681      3.988333877552858
	4     -0.5751962842120428      2.094039343292042    0.01672285524920269
	5       -3.59870626977265    -0.4530302219491422      2.711304551309462
	6     -0.8071990933369375     -1.891681720634054     -3.448791533946768
	7      -3.542522410889087       3.54218797378012     -2.098497034260651
	8       -1.11933613009518      1.847710863343316     0.5929222309738451
	9      0.4227300448484073    -0.4878067353806577      1.961012096783899
	10       2.68304370757494     0.4275029518303581     -3.302149921949332
	11      1.741733475835719       1.00206105312395     -2.113216799537495
	12      3.716711847614929      2.494425238931238     -1.122895653744632
	13    -0.5018520480389079      2.743756243491025     0.1090677917907241
	14      1.711922632332199     -1.460135701381098     -2.395791424161409
	15      2.127266462499016    -0.6427545138214601      -2.16702262874615
	16      0.689734538480983      2.550249886697141      2.253879976894951
	17     -1.412462957455465      3.629712803658202     -2.988627242245782
	18       3.09705000491085     -1.424865397903597   -0.06711965804384201
	19      1.931593122397635     -1.129634641806944      2.522196110103276
	20     -2.908796477352095   -0.07108311182788674      2.498961153019057
	21    -0.6331370537669732        3.3389803677896      2.967005299463244
	22      2.961032363019846     -1.613091905006707     -2.845806517898433
	23      -3.27267649638957      0.968685659519716      3.987294552733171
	24      1.340366993605219    -0.7001772462509299      1.156232877718852
	25     -1.651546587352693     -3.683806249515806    -0.5828234213378072
	26     -2.076138909294193     -3.701159996931874     -1.127880190106203
	27      3.601666486120426      3.489106961922682      3.709811838503233
	28       3.17603049859503     -2.915337443817333     0.9510596836921756
	29    -0.3611506864126635      3.736740988063892      1.560284307021055
	30    -0.9650164164349277      3.134434933674874     0.7940512667878199
	31     -1.151648454795739     0.4293563722706208     -1.477888203992499
	32     -3.064181319138516       1.85319320742069     -3.889109503454614
	33       2.70856897086606     -2.935269895789089      2.863799958883293
	34     0.5050004209174235        2.5563207680807     -3.766255374457552
	35      2.565258240904032     -2.388727986202433     -2.194796844222015
	36     0.8976164789856949      3.978957460573688     0.3003495780998318
	37      2.228201815078058    -0.7757917454516639     -1.820394953131256
	38     0.9961143072127401     -1.875587909783964      -3.06928830789858
	39     -2.631623852673702       1.04117691812928     -0.455282203739467
	40    -0.3350093853840193      1.102524778255098      -1.98421811992364
	41      3.068153453299276     0.4356798478625894     -1.568439946771113
	42     -1.655830193504919    -0.4500348903913278      2.108085704057644
	43      -1.48476286282731      1.491494570669624      2.972082750598713
	44      2.514994269945045      1.531914575369183      3.089348266345328
	45    -0.2016601974072945      1.119389053227053    -0.7345659788168697
	46      3.400088123607854     -0.178663503975331     -2.122504029703962
	47    -0.5674569246877201      2.716412374110007     -1.288506053093589
	48     0.4260026092656677     -1.374245632433969      3.236111089586885
	49     -2.259208271855623    0.08689672291664507     -3.773676180996268
	50     -1.881217579657615      3.049305998255884     -2.935220781039691

	:                25                    26                    27  :=
	1        3.52217599311402      1.978340623165107      1.799287623752012
	2      0.2586981183548858     -1.398483413504541    -0.4857357180248081
	3      -3.987197139030914     -0.360189913402774      3.397437244733319
	4       1.337448534533432    -0.5726593661323762     0.2436309164136325
	5       3.784218653884575     0.6463969315547882     -3.002181700412902
	6     -0.2623633154764335     -2.526241367997034       -3.9212936641046
	7      -1.586712549027681     -2.670775647107815      0.116530528587993
	8       1.966551380034162    -0.5596475789871951    -0.9720069888924381
	9     -0.7353214401801718     0.9016437352774131     0.1634041126768278
	10      1.962837916599118      3.552823727309023     -1.259966775072044
	11     -3.982182106485899     0.4004657460957484   -0.08729921626794424
	12     -3.749950536773769      1.154285235468211    0.07813129573286304
	13     -2.848438201481778      1.805901836357297     0.3731202253457635
	14      3.821524865303187      2.535244675567993     -1.242107854427297
	15     0.1894644613041381      1.303653465693384      1.669241496019516
	16      2.543845776438001      1.164256864092579     -1.948099237917481
	17      1.537428814421131     0.0124216360892202      2.224956409525218
	18      1.669291629942706     -3.477249226007702     -1.725649138618935
	19      1.395256683959321     -2.516985561228712     -3.756653663050828
	20     -3.054083800171107     -2.814137971333273    -0.4548443362803845
	21     -1.836529388636011      1.394824449930994     -2.256386574109146
	22      2.277314452885222     -1.231213230924167     0.1108192981805169
	23      3.573763449846782     -2.201799711949278    -0.9178025925369924
	24       2.60890663156187      3.853456261339042   -0.09964786874499509
	25     -1.085232356651419      3.489257430579479    -0.4735210032342034
	26     0.8077140010446096     -2.618480611741361      0.990550160759784
	27      1.300962302013231     -3.375316062137661     -1.019389852884749
	28        1.8864567021531       2.36558965180368       3.87525714785506
	29      3.817870517522718      1.543197076009974    -0.3455797391484241
	30      1.795556837738275       1.47372481521815      1.481714044791582
	31      3.219365578616832      3.946965647952767     -2.360299998666754
	32    -0.6034390280424513      2.557774234303992     -1.529942381297544
	33     -2.143339996738291      3.150467571816309     -2.366778857307385
	34     -2.655647638267097     -2.970924010879397      2.691834825607469
	35     -3.676693465485301      1.735137423296791     -3.890209412278482
	36     -0.897817446969214     -3.443284672385541      2.540534891909665
	37     -1.546397730616233     -3.126835619272025      3.272247477737395
	38        1.2525096923491       2.92863938601943      -2.00647856061587
	39       1.94431269691585       -1.8378984752502     -1.333758745228003
	40      2.724169130249107     -2.410234760963106   -0.05695662880721208
	41     -3.881072459898151      3.296734143882037     -3.862815151523304
	42     -3.204358944617252      2.210633552743611     0.3363953603678995
	43     -1.593161465912873      2.233700148122147      2.570000976380274
	44     0.2511042320242938      3.878479453019462    -0.9861231630296245
	45     -2.125006584182968      1.584154925777566      0.729075185601892
	46    -0.6327347460817716     -3.380622061156969      3.374128853075974
	47      2.320774358838916     -1.168134179124899      1.158250705535442
	48     0.2351325790152243     -2.410141966700695     -1.845922633210673
	49       1.24377209347619      3.820631790288783     -2.053165263685331
	50      3.449948795937358     0.2094362857177838      1.056292952179607

	:                28                    29                    30  :=
	1       3.959847129164113     -3.179750481105086     -3.048737605028049
	2       2.909187116545858     -3.890848953866119      2.673674698066207
	3      -1.359505819382395      2.492612667850583      3.094511807497853
	4     0.07492120698204374     -1.700384562316655      1.362747952151539
	5       3.658560531718448      2.998043818994872      1.945376920705392
	6      -3.164139272588843      2.693476407619759      1.274413490736542
	7      -2.364959343329141      2.823847273912407       1.28466555040644
	8       2.864334333930551     -1.696865196044748    -0.5308130365886088
	9      -1.808215485703394     0.3299344785144616     -3.715922383771159
	10     -2.528163103239888     -1.234349203946856    -0.2162439053324912
	11     -1.833273369899802    -0.5576396955955625     -2.020081210776774
	12      2.352166088583697     -1.950418209553702     -3.641756561422826
	13     -0.585921427117281     -2.460242960226308      2.661162722714573
	14     -3.637006387792683     -2.496821648824724     -2.137093162297631
	15     -3.156750273315896     -3.822486527084035      1.240540486606163
	16     -1.803850461726665     -3.539379517853877     -2.656190816054444
	17     0.7948886387431475     0.5765210472181064     -2.652486115399885
	18     -3.023076012365635     -2.623211906578914     -1.009597118773669
	19     -2.254899294782953    -0.1926749929444149     -1.725804370285617
	20      3.737361319536897     -1.880528707276223     -1.782348459546204
